code,buy_date,sell_date,buy_price,sell_price,gross_return,net_return,holding_days,sell_reason
600366,2019-02-27,2019-03-08,6.02,6.532,0.08504983388704328,0.08154983388704327,9,移动止盈
000609,2019-02-26,2019-03-08,6.0,5.9064000000000005,-0.01559999999999991,-0.019099999999999912,10,移动止盈
002862,2019-02-20,2019-02-25,23.68,26.220000000000002,0.10726351351351363,0.10376351351351362,5,移动止盈
000792,2019-02-27,2019-03-08,7.16,7.341600000000001,0.02536312849162017,0.02186312849162017,9,移动止盈
600310,2019-02-12,2019-02-22,4.04,4.130800000000001,0.022475247524752637,0.018975247524752638,10,移动止盈
601099,2019-02-20,2019-02-26,2.88,3.5512,0.23305555555555565,0.22955555555555565,6,移动止盈
001328,2023-05-23,2023-05-29,39.21,36.836800000000004,-0.06052537617954596,-0.06402537617954596,6,移动止盈
603005,2019-02-15,2019-02-20,16.28,18.1884,0.11722358722358724,0.11372358722358723,5,移动止盈
002429,2019-02-20,2019-02-25,2.69,2.5852,-0.03895910780669145,-0.04245910780669145,5,移动止盈
002227,2019-02-14,2019-02-21,12.72,12.2636,-0.035880503144654116,-0.03938050314465412,7,移动止盈
002040,2019-02-18,2019-02-27,9.86,10.626000000000001,0.07768762677484806,0.07418762677484805,9,移动止盈
603790,2019-02-27,2019-03-07,22.48,23.3036,0.03663701067615654,0.033137010676156535,8,移动止盈
002985,2020-06-24,2020-06-30,112.01,114.5124,0.022340862422997897,0.018840862422997897,6,移动止盈
000811,2019-02-27,2019-03-11,6.14,6.394,0.04136807817589584,0.03786807817589584,12,移动止盈
000811,2019-04-19,2019-04-25,10.44,10.000399999999999,-0.042107279693486634,-0.04560727969348664,6,移动止盈
000811,2019-06-13,2019-06-26,8.35,8.74,0.046706586826347374,0.04320658682634737,13,移动止盈
605338,2020-11-18,2020-11-23,54.07,51.317600000000006,-0.05090438320695385,-0.05440438320695385,5,移动止盈
002192,2019-02-21,2019-02-27,24.34,30.3416,0.2465735414954807,0.2430735414954807,6,移动止盈
600416,2019-02-20,2019-02-27,6.11,6.734400000000001,0.10219312602291333,0.09869312602291333,7,移动止盈
002856,2019-02-19,2019-03-08,21.15,23.4508,0.10878486997635946,0.10528486997635945,17,移动止盈
605117,2021-05-31,2021-06-07,77.88,74.382,-0.04491525423728802,-0.04841525423728802,7,移动止盈
002454,2019-02-15,2019-03-08,4.65,5.106,0.09806451612903215,0.09456451612903215,21,移动止盈
002100,2019-02-13,2019-02-22,5.93,6.7896,0.14495784148397983,0.14145784148397983,9,移动止盈
002383,2019-02-27,2019-03-08,13.42,14.49,0.07973174366616992,0.07623174366616992,9,移动止盈
603106,2019-04-02,2019-04-08,14.4,13.938,-0.03208333333333332,-0.03558333333333332,6,移动止盈
603194,2025-02-11,2025-02-28,37.1,37.6924,0.01596765498652285,0.012467654986522851,17,移动止盈
000070,2019-02-13,2019-02-21,10.21,10.9664,0.07408423114593528,0.07058423114593528,8,移动止盈
002796,2019-02-15,2019-02-21,42.49,44.5648,0.048830313014826925,0.04533031301482692,6,移动止盈
002797,2019-02-26,2019-03-04,7.93,7.544,-0.04867591424968476,-0.05217591424968476,6,移动止盈
002797,2019-04-02,2019-04-15,8.03,7.6728000000000005,-0.04448318804483174,-0.047983188044831745,13,移动止盈
600581,2019-02-27,2019-03-08,4.4,4.6000000000000005,0.04545454545454549,0.04195454545454549,9,移动止盈
600220,2019-02-27,2019-03-08,2.67,2.9164,0.09228464419475654,0.08878464419475654,9,移动止盈
603389,2019-02-25,2019-03-07,10.49,11.0676,0.05506196377502386,0.05156196377502386,10,移动止盈
600775,2019-02-13,2019-02-20,8.41,8.3628,-0.00561236623067778,-0.009112366230677781,7,移动止盈
600512,2019-02-27,2019-03-08,2.86,2.8428,-0.006013986013985973,-0.009513986013985972,9,移动止盈
002518,2019-02-27,2019-03-04,10.44,10.3408,-0.009501915708812236,-0.013001915708812236,5,移动止盈
601700,2019-02-18,2019-02-26,6.5549,10.699600000000002,0.6323056034417004,0.6288056034417004,8,移动止盈
001382,2025-05-08,2025-05-23,22.15,22.521600000000003,0.016776523702031802,0.013276523702031803,15,移动止盈
600107,2019-02-26,2019-03-05,7.74,7.774,0.004392764857881112,0.000892764857881112,7,移动止盈
000987,2019-02-20,2019-02-25,9.63,9.9728,0.035597092419522185,0.03209709241952218,5,移动止盈
000987,2019-04-02,2019-04-16,11.07,10.883600000000001,-0.016838301716350406,-0.020338301716350406,14,移动止盈
000517,2019-02-27,2019-03-04,2.7,3.0176,0.1176296296296295,0.1141296296296295,5,移动止盈
000517,2019-04-02,2019-04-18,3.31,3.45,0.042296072507552906,0.0387960725075529,16,移动止盈
002145,2019-02-27,2019-03-07,4.03,4.3056,0.06838709677419351,0.0648870967741935,8,移动止盈
600425,2019-02-27,2019-03-05,3.6,4.5264,0.25733333333333325,0.25383333333333324,6,移动止盈
600425,2019-04-04,2019-04-11,5.49,5.2256,-0.04816029143898,-0.05166029143898,7,移动止盈
002692,2019-02-20,2019-02-27,4.06,4.324000000000001,0.0650246305418722,0.0615246305418722,7,移动止盈
002692,2019-04-03,2019-04-12,4.85,4.9496,0.020536082474226926,0.017036082474226926,9,移动止盈
000963,2019-02-12,2019-02-20,29.01,29.44,0.014822475008617707,0.011322475008617707,8,移动止盈
600316,2019-02-25,2019-03-05,13.06,13.763200000000001,0.05384379785604906,0.050343797856049054,8,移动止盈
002467,2019-02-27,2019-03-05,5.89,6.256,0.06213921901528023,0.05863921901528023,6,移动止盈
002354,2019-02-27,2019-03-04,5.35,5.3452,-0.0008971962616821442,-0.004397196261682145,5,移动止盈
002214,2019-02-15,2019-03-08,6.5,7.6175999999999995,0.17193846153846146,0.16843846153846145,21,移动止盈
600139,2019-02-27,2019-03-07,3.93,4.3056,0.09557251908396945,0.09207251908396945,8,移动止盈
000823,2019-02-15,2019-02-27,9.29,9.8164,0.056663078579117405,0.0531630785791174,12,移动止盈
600698,2019-02-27,2019-03-06,4.11,4.140000000000001,0.00729927007299276,0.0037992700729927603,7,移动止盈
600703,2019-02-12,2019-02-18,10.92,12.0336,0.10197802197802197,0.09847802197802197,6,移动止盈
002329,2019-02-27,2019-03-14,4.34,4.232,-0.02488479262672803,-0.02838479262672803,15,移动止盈
002329,2019-04-11,2019-04-16,4.75,4.5632,-0.039326315789473654,-0.04282631578947366,5,移动止盈
600550,2019-02-27,2019-03-08,4.33,4.8116,0.11122401847575063,0.10772401847575062,9,移动止盈
002488,2019-02-27,2019-03-08,7.86,11.5828,0.4736386768447837,0.4701386768447837,9,移动止盈
601179,2019-02-27,2019-03-08,4.2,4.0848,-0.027428571428571368,-0.030928571428571368,9,移动止盈
002453,2019-02-27,2019-03-07,6.49,6.3296,-0.024714946070878287,-0.028214946070878287,8,移动止盈
002194,2019-02-20,2019-02-26,8.76,10.2764,0.17310502283105034,0.16960502283105033,6,移动止盈
600677,2019-02-13,2019-02-21,12.18,13.873600000000001,0.1390476190476192,0.1355476190476192,8,移动止盈
603929,2019-02-18,2019-03-08,16.27,18.114800000000002,0.11338660110633085,0.10988660110633085,18,移动止盈
000957,2019-02-14,2019-02-20,6.06,6.1456,0.014125412541254182,0.010625412541254183,6,移动止盈
002642,2019-02-27,2019-03-05,6.68,6.9,0.032934131736527046,0.029434131736527046,6,移动止盈
600864,2019-02-20,2019-02-26,4.89,6.026,0.2323108384458078,0.2288108384458078,6,移动止盈
600864,2019-04-02,2019-04-08,8.03,8.3444,0.03915317559153187,0.03565317559153187,6,移动止盈
600072,2019-02-27,2019-03-04,8.82,9.9084,0.12340136054421769,0.11990136054421768,5,移动止盈
000969,2019-02-26,2019-03-14,5.93,6.283600000000001,0.0596290050590221,0.056129005059022095,16,移动止盈
002897,2019-02-27,2019-03-04,22.67,23.8096,0.05026907807675333,0.046769078076753325,5,移动止盈
002660,2019-03-05,2019-03-11,7.17,7.3968,0.0316317991631799,0.028131799163179903,6,移动止盈
002153,2019-02-13,2019-02-27,30.89,31.8136,0.029899643897701535,0.026399643897701535,14,移动止盈
000055,2019-02-26,2019-03-11,6.67,6.3848,-0.04275862068965512,-0.046258620689655125,13,移动止盈
000592,2019-02-26,2019-03-06,3.82,4.0572,0.06209424083769636,0.058594240837696356,8,移动止盈
000592,2019-04-19,2019-04-26,4.76,4.4528,-0.0645378151260504,-0.06803781512605041,7,移动止盈
603063,2019-02-13,2019-02-19,8.0,8.7584,0.0948,0.09129999999999999,6,移动止盈
600906,2021-06-22,2021-06-28,16.8973,17.3052,0.024139951353174642,0.020639951353174642,6,移动止盈
002721,2019-02-27,2019-03-08,6.32,6.578,0.040822784810126585,0.03732278481012658,9,移动止盈
605005,2021-04-21,2021-04-26,21.59,20.497600000000002,-0.05059749884205641,-0.05409749884205641,5,移动止盈
002189,2019-02-12,2019-02-22,15.0,15.345600000000001,0.023040000000000067,0.019540000000000068,10,移动止盈
002189,2019-03-25,2019-04-01,25.53,26.8456,0.051531531531531526,0.04803153153153152,7,移动止盈
002933,2019-02-27,2019-03-08,49.24,51.970800000000004,0.055458976441917184,0.05195897644191718,9,移动止盈
600879,2019-02-27,2019-03-14,6.56,6.9828,0.06445121951219521,0.060951219512195204,15,移动止盈
000758,2019-02-27,2019-03-07,4.75,5.0784,0.0691368421052632,0.0656368421052632,8,移动止盈
000758,2019-04-03,2019-04-12,5.2,5.0048,-0.0375384615384615,-0.0410384615384615,9,移动止盈
601375,2019-02-26,2019-03-04,6.1509,5.7684,-0.06218602155782085,-0.06568602155782086,6,移动止盈
601375,2019-04-02,2019-04-16,6.34,6.0444,-0.04662460567823335,-0.050124605678233354,14,移动止盈
002756,2019-02-18,2019-02-26,15.01,15.253599999999999,0.016229180546302395,0.012729180546302395,8,移动止盈
600393,2019-02-27,2019-03-06,2.93,3.0452000000000004,0.03931740614334477,0.03581740614334477,7,移动止盈
600393,2019-04-17,2019-04-22,3.5,3.8180000000000005,0.090857142857143,0.087357142857143,5,移动止盈
603803,2019-02-13,2019-02-27,10.99,11.5184,0.048080072793448544,0.04458007279344854,14,移动止盈
002342,2019-02-27,2019-03-05,3.85,3.9468,0.02514285714285714,0.02164285714285714,6,移动止盈
603999,2019-02-26,2019-03-04,6.464,5.946880000000001,-0.07999999999999989,-0.0834999999999999,6,移动止盈
002579,2019-02-13,2019-02-19,10.16,10.5984,0.043149606299212565,0.03964960629921256,6,移动止盈
600938,2022-05-31,2022-06-16,19.5,18.8508,-0.03329230769230772,-0.03679230769230772,16,移动止盈
000783,2019-02-26,2019-03-04,7.79,7.1668,-0.07999999999999997,-0.08349999999999998,6,移动止盈
000783,2019-04-02,2019-04-10,7.77,7.792400000000001,0.0028828828828830226,-0.0006171171171169775,8,移动止盈
603400,2025-08-07,2025-08-12,61.28,62.56,0.020887728459530044,0.017387728459530044,5,移动止盈
605268,2021-04-07,2021-04-12,16.06,16.5508,0.030560398505603995,0.027060398505603996,5,移动止盈
002182,2019-02-26,2019-03-25,7.83,8.804400000000001,0.12444444444444458,0.12094444444444458,27,移动止盈
600804,2019-02-13,2019-02-21,8.36,8.786000000000001,0.0509569377990433,0.047456937799043294,8,移动止盈
600495,2019-02-27,2019-03-04,5.38,5.2256,-0.02869888475836429,-0.03219888475836429,5,移动止盈
002051,2019-03-19,2019-03-26,15.98,15.0144,-0.06042553191489363,-0.06392553191489363,7,移动止盈
601686,2021-01-18,2021-02-05,12.52,12.309600000000001,-0.016805111821086113,-0.020305111821086113,18,移动止盈
603688,2019-02-13,2019-03-11,13.93,14.784400000000002,0.06133524766690609,0.057835247666906085,26,移动止盈
600203,2019-02-20,2019-02-25,5.24,5.3912,0.02885496183206111,0.02535496183206111,5,移动止盈
600531,2019-02-25,2019-03-07,4.67,5.9064000000000005,0.2647537473233406,0.2612537473233406,10,移动止盈
000936,2019-02-26,2019-03-05,7.88,8.3352,0.057766497461928995,0.05426649746192899,7,移动止盈
002939,2019-02-15,2019-02-22,10.56,11.454,0.08465909090909092,0.08115909090909092,7,移动止盈
002167,2019-03-06,2019-03-11,7.73,7.728000000000001,-0.00025873221216038547,-0.0037587322121603855,5,移动止盈
