stock_code,stock_name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
000510,000510_data,2019-02-15 00:00:00,2019-02-25 00:00:00,4.36,4.774800000000001,9.16376146788992,10,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,4.18,2019
002886,002886_data,2019-02-15 00:00:00,2019-02-20 00:00:00,16.08,19.182000000000002,18.94104477611943,5,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,15.23,2019
002670,002670_data,2019-02-26 00:00:00,2019-03-05 00:00:00,12.4,13.5608,9.011290322580646,7,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,9.99,2019
000981,000981_data,2019-02-14 00:00:00,2019-02-19 00:00:00,2.92,3.0820000000000003,5.197945205479464,5,移动止盈,2019-02-13 00:00:00,2019-02-12 00:00:00,2.76,2019
600856,600856_data,2019-02-14 00:00:00,2019-02-22 00:00:00,3.72,3.7904000000000004,1.5424731182795761,8,移动止盈,2019-02-13 00:00:00,2019-02-12 00:00:00,3.46,2019
002143,002143_data,2019-02-26 00:00:00,2019-03-05 00:00:00,3.5,3.6064000000000003,2.6900000000000075,7,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,3.04,2019
000045,000045_data,2019-02-27 00:00:00,2019-03-07 00:00:00,6.74,7.36,8.848813056379823,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.56,2019
000419,000419_data,2019-02-27 00:00:00,2019-03-27 00:00:00,4.78,5.050800000000001,5.315271966527204,28,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.57,2019
603133,603133_data,2019-02-14 00:00:00,2019-02-22 00:00:00,17.45,17.94,2.4580229226361148,8,移动止盈,2019-02-13 00:00:00,2019-02-12 00:00:00,15.53,2019
600366,600366_data,2019-02-27 00:00:00,2019-03-08 00:00:00,6.02,6.532,8.154983388704327,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,5.72,2019
000609,000609_data,2019-02-26 00:00:00,2019-03-08 00:00:00,6.0,5.9064000000000005,-1.9099999999999913,10,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,5.28,2019
002862,002862_data,2019-02-20 00:00:00,2019-02-25 00:00:00,23.68,26.220000000000002,10.376351351351362,5,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,19.13,2019
000792,000792_data,2019-02-27 00:00:00,2019-03-08 00:00:00,7.16,7.341600000000001,2.186312849162017,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.68,2019
600310,600310_data,2019-02-12 00:00:00,2019-02-22 00:00:00,4.04,4.130800000000001,1.8975247524752639,10,移动止盈,2019-02-11 00:00:00,2019-02-01 00:00:00,3.73,2019
601099,601099_data,2019-02-20 00:00:00,2019-02-26 00:00:00,2.88,3.5512,22.955555555555566,6,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,2.73,2019
001328,001328_data,2023-05-23 00:00:00,2023-05-29 00:00:00,39.21,36.836800000000004,-6.402537617954596,6,移动止盈,2023-05-22 00:00:00,2023-05-19 00:00:00,33.81,2023
603005,603005_data,2019-02-15 00:00:00,2019-02-20 00:00:00,16.28,18.1884,11.372358722358724,5,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,15.62,2019
002429,002429_data,2019-02-20 00:00:00,2019-02-25 00:00:00,2.69,2.5852,-4.245910780669146,5,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,2.2,2019
002227,002227_data,2019-02-14 00:00:00,2019-02-21 00:00:00,12.72,12.2636,-3.938050314465412,7,移动止盈,2019-02-13 00:00:00,2019-02-12 00:00:00,10.75,2019
002040,002040_data,2019-02-18 00:00:00,2019-02-27 00:00:00,9.86,10.626000000000001,7.418762677484805,9,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,8.1,2019
603790,603790_data,2019-02-27 00:00:00,2019-03-07 00:00:00,22.48,23.3036,3.3137010676156535,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,21.6,2019
002985,002985_data,2020-06-24 00:00:00,2020-06-30 00:00:00,112.01,114.5124,1.8840862422997897,6,移动止盈,2020-06-23 00:00:00,2020-06-22 00:00:00,97.5,2020
000811,000811_data,2019-02-27 00:00:00,2019-03-11 00:00:00,6.14,6.394,3.786807817589584,12,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,5.9,2019
000811,000811_data,2019-06-13 00:00:00,2019-06-26 00:00:00,8.35,8.74,4.320658682634737,13,移动止盈,2019-06-12 00:00:00,2019-06-11 00:00:00,8.01,2019
605338,605338_data,2020-11-18 00:00:00,2020-11-23 00:00:00,54.07,51.317600000000006,-5.440438320695385,5,移动止盈,2020-11-17 00:00:00,2020-11-16 00:00:00,45.98,2020
002192,002192_data,2019-02-21 00:00:00,2019-02-27 00:00:00,24.34,30.3416,24.30735414954807,6,移动止盈,2019-02-20 00:00:00,2019-02-19 00:00:00,21.62,2019
600416,600416_data,2019-02-20 00:00:00,2019-02-27 00:00:00,6.11,6.734400000000001,9.869312602291332,7,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,5.72,2019
