stock_code,stock_name,pattern_index,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
605580,605580_data,1,2021-09-29 00:00:00,2021-09-30 00:00:00,17.76775,16.346330000000002,-8.224999999999987,1,移动止盈,2021-09-28 00:00:00,2021-09-27 00:00:00,18.43,2021
002987,002987_data,1,2020-06-16 00:00:00,2020-07-08 00:00:00,55.45539999999999,64.492,16.070257089480943,14,移动止盈,2020-06-15 00:00:00,2020-06-11 00:00:00,55.03,2020
601778,601778_data,1,2020-07-08 00:00:00,2020-07-15 00:00:00,8.21821,8.280000000000001,0.52686689072197,5,移动止盈,2020-07-07 00:00:00,2020-07-06 00:00:00,8.32,2020
001255,001255_data,1,2022-11-30 00:00:00,2022-12-08 00:00:00,37.61758,38.6308,2.468474699861086,6,移动止盈,2022-11-29 00:00:00,2022-11-28 00:00:00,37.69,2022
001314,001314_data,1,2023-04-07 00:00:00,2023-04-20 00:00:00,46.44639999999999,43.8288,-5.8607435667780265,9,移动止盈,2023-04-06 00:00:00,2023-04-04 00:00:00,46.85,2023
605028,605028_data,1,2021-08-26 00:00:00,2021-08-27 00:00:00,25.77575,23.71369,-8.224999999999996,1,移动止盈,2021-08-25 00:00:00,2021-08-24 00:00:00,25.06,2021
603391,603391_data,1,2024-10-11 00:00:00,2024-11-18 00:00:00,40.22017999999999,41.4,2.7084030827311234,26,移动止盈,2024-10-10 00:00:00,2024-09-27 00:00:00,39.89,2024
603112,603112_data,1,2020-11-20 00:00:00,2020-12-11 00:00:00,12.93292,12.2084,-5.827137800280216,15,移动止盈,2020-11-19 00:00:00,2020-11-11 00:00:00,13.23,2020
603375,603375_data,1,2024-03-26 00:00:00,2024-03-27 00:00:00,55.605549999999994,51.157106,-8.224999999999993,1,移动止盈,2024-03-25 00:00:00,2024-03-19 00:00:00,54.4,2024
001390,001390_data,1,2025-07-10 00:00:00,2025-08-21 00:00:00,24.18416,25.58,5.546711731976632,30,到期卖出,2025-07-09 00:00:00,2025-07-08 00:00:00,24.97,2025
603201,603201_data,1,2022-09-16 00:00:00,2022-09-23 00:00:00,39.049009999999996,38.13400000000001,-2.568234822086368,5,移动止盈,2022-09-15 00:00:00,2022-09-14 00:00:00,40.15,2022
001207,001207_data,1,2021-08-13 00:00:00,2021-08-17 00:00:00,23.19317,26.9468,15.959204229089863,2,移动止盈,2021-08-12 00:00:00,2021-08-11 00:00:00,23.61,2021
001238,001238_data,1,2022-11-01 00:00:00,2022-11-07 00:00:00,25.405379999999997,26.4408,3.8505934372955726,4,移动止盈,2022-10-31 00:00:00,2022-10-28 00:00:00,26.64,2022
605369,605369_data,1,2020-11-24 00:00:00,2020-11-27 00:00:00,67.63756999999998,62.22656439999999,-8.224999999999996,3,移动止盈,2020-11-23 00:00:00,2020-11-19 00:00:00,67.19,2020
605368,605368_data,1,2021-03-25 00:00:00,2021-03-30 00:00:00,17.48747,16.6704,-4.897316807405518,3,移动止盈,2021-03-24 00:00:00,2021-03-23 00:00:00,18.76,2021
603271,603271_data,1,2025-04-22 00:00:00,2025-04-28 00:00:00,37.367329999999995,36.698800000000006,-2.014076179646739,4,移动止盈,2025-04-21 00:00:00,2025-04-18 00:00:00,38.68,2025
001319,001319_data,1,2022-06-28 00:00:00,2022-07-04 00:00:00,30.330299999999998,27.903876,-8.224999999999993,4,移动止盈,2022-06-27 00:00:00,2022-06-22 00:00:00,30.47,2022
603191,603191_data,1,2022-06-21 00:00:00,2022-06-29 00:00:00,20.21019,23.818800000000003,17.630398687493795,6,移动止盈,2022-06-20 00:00:00,2022-06-17 00:00:00,20.66,2022
001326,001326_data,1,2023-12-29 00:00:00,2024-01-18 00:00:00,52.81275999999999,50.6368,-4.3451406629761244,13,移动止盈,2023-12-28 00:00:00,2023-12-27 00:00:00,52.17,2023
001267,001267_data,1,2021-12-28 00:00:00,2021-12-29 00:00:00,8.008,7.36736,-8.224999999999994,1,移动止盈,2021-12-27 00:00:00,2021-12-20 00:00:00,9.03,2021
001380,001380_data,1,2023-06-27 00:00:00,2023-07-06 00:00:00,31.54151,31.399600000000003,-0.6749150484551811,7,移动止盈,2023-06-26 00:00:00,2023-06-19 00:00:00,30.9,2023
001289,001289_data,1,2022-03-08 00:00:00,2022-03-14 00:00:00,28.248219999999996,27.6276,-2.422023387668304,4,移动止盈,2022-03-07 00:00:00,2022-03-04 00:00:00,27.88,2022
605151,605151_data,1,2021-01-22 00:00:00,2021-01-27 00:00:00,20.019999999999996,19.8168,-1.239985014984992,3,移动止盈,2021-01-21 00:00:00,2021-01-20 00:00:00,20.47,2021
605336,605336_data,1,2020-12-01 00:00:00,2020-12-08 00:00:00,33.643609999999995,31.51,-6.56679863575875,5,移动止盈,2020-11-30 00:00:00,2020-11-27 00:00:00,34.79,2020
601512,601512_data,1,2020-02-07 00:00:00,2020-02-28 00:00:00,11.19118,11.0952,-1.0826396769598834,15,移动止盈,2020-02-06 00:00:00,2020-02-05 00:00:00,11.08,2020
