代码,回踩日期,放量日期,放量收盘价,质量总分,跌幅评分,时间评分,回踩评分,跌幅,缩量到放量天数
603221,2020-07-01 00:00:00,2020-06-30 00:00:00,14.87,70,20,30,20,17.3728813559322,21
603296,2023-09-25 00:00:00,2023-09-22 00:00:00,70.5,70,20,30,20,12.116336633663357,16
603310,2024-09-25 00:00:00,2024-09-24 00:00:00,15.52,70,10,40,20,45.9366391184573,12
603381,2024-09-25 00:00:00,2024-09-24 00:00:00,20.1,70,20,30,20,18.121847109041514,22
603400,2025-08-04 00:00:00,2025-08-01 00:00:00,55.1,70,10,40,20,46.75257731958763,11
603439,2020-06-11 00:00:00,2020-06-10 00:00:00,30.42,70,10,40,20,23.820352472996017,5
605008,2021-02-25 00:00:00,2021-02-24 00:00:00,29.88,70,20,30,20,15.375722543352602,20
605080,2021-08-11 00:00:00,2021-08-10 00:00:00,55.99,70,20,30,20,17.312999273783582,19
605108,2020-08-31 00:00:00,2020-08-28 00:00:00,28.31,70,10,40,20,23.04186841355739,14
605116,2020-11-10 00:00:00,2020-11-09 00:00:00,18.78,70,10,40,20,23.6105476673428,12
605123,2020-10-12 00:00:00,2020-10-09 00:00:00,78.87,70,20,30,20,15.336956521739129,16
605133,2021-04-02 00:00:00,2021-04-01 00:00:00,25.24,70,10,40,20,35.45945945945947,7
605183,2021-01-18 00:00:00,2021-01-15 00:00:00,16.08,70,10,40,20,44.246620507748105,9
605333,2020-10-13 00:00:00,2020-10-12 00:00:00,16.93,70,10,40,20,35.44827586206897,13
001207,2021-11-23 00:00:00,2021-11-22 00:00:00,24.17,65,5,40,20,5.072463768115947,5
001217,2021-11-17 00:00:00,2021-11-16 00:00:00,21.26,65,5,40,20,7.026291931096996,8
001256,2023-01-31 00:00:00,2023-01-30 00:00:00,23.02,65,15,30,20,8.691241122759555,20
002962,2020-01-10 00:00:00,2020-01-09 00:00:00,37.9,65,15,30,20,8.293726235741433,17
002970,2020-02-05 00:00:00,2020-02-04 00:00:00,128.8,65,15,30,20,9.133715665559912,18
002975,2020-06-01 00:00:00,2020-05-29 00:00:00,124.95,65,15,30,20,9.947155735156986,16
