2026-04-21 21:29:16 [INFO] 📂 加载回测数据：data/new_coins_backtest.json
2026-04-21 21:29:16 [INFO] ✅ 加载成功，共 100 个币种
2026-04-21 21:29:16 [INFO] 📊 回测期间：2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 🚀 开始回测 v3.1: 2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 📊 共有 2160 个评分时点
2026-04-21 21:29:16 [INFO] 🎯 GALAUSDT 开仓：时间=2026-04-01 19:01:00, 价格=0.0030, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0229, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-01 21:01:00, 价格=8.9490, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0359, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 AINUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0539, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 HANAUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0408, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 1000XECUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0068, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 GALAUSDT 开仓：时间=2026-04-01 21:01:00, 价格=0.0030, 评分=9.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-01 22:01:00, 价格=0.0190, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-01 22:01:00, 价格=336.6300, 评分=9.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-01 22:01:00, 价格=0.1000, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 23:01:00, 价格=0.0227, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-01 23:01:00, 价格=9.0020, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-01 23:01:00, 价格=0.0362, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 00:01:00, 价格=0.0192, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 00:01:00, 价格=334.8400, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 00:01:00, 价格=0.1000, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 01:01:00, 价格=0.0225, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 01:01:00, 价格=9.0020, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 01:01:00, 价格=0.0362, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 02:01:00, 价格=0.0192, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 02:01:00, 价格=337.7400, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 02:01:00, 价格=0.0990, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 03:01:00, 价格=0.0224, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 03:01:00, 价格=9.0140, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 03:01:00, 价格=0.0357, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 04:01:00, 价格=0.0193, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 04:01:00, 价格=337.0100, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 04:01:00, 价格=0.0990, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 05:01:00, 价格=0.0225, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 05:01:00, 价格=9.0050, 评分=8.00, 三次冲顶=True, 量价背离=False
