date,open,high,low,close,volume,amount
2019-01-02,4.1200,4.2500,4.1200,4.2200,3612978,15126169.4800
2019-01-03,4.2300,4.2600,4.2100,4.2300,1594999,6758689.7700
2019-01-04,4.2200,4.4000,4.2100,4.3200,4364900,18921930.0000
2019-01-07,4.3400,4.3600,4.3100,4.3500,2255000,9776201.0700
2019-01-08,4.3400,4.3600,4.3100,4.3200,1427718,6179336.3600
2019-01-09,4.3200,4.4300,4.3200,4.3700,4013700,17571698.0000
2019-01-10,4.3800,4.4000,4.3200,4.3400,2069899,9026709.6700
2019-01-11,4.3300,4.4100,4.3300,4.4000,2378602,10405636.7000
2019-01-14,4.4000,4.4000,4.3000,4.3400,2454504,10664203.1200
2019-01-15,4.3300,4.3800,4.3100,4.3700,1722704,7503956.3600
2019-01-16,4.3700,4.3900,4.3400,4.3700,1495264,6522880.4400
2019-01-17,4.3500,4.3600,4.2900,4.3000,1888500,8180307.0000
2019-01-18,4.2900,4.3500,4.2900,4.3300,1635908,7076784.5600
2019-01-21,4.3600,4.3900,4.3400,4.3500,1374640,6000605.6400
2019-01-22,4.3500,4.3600,4.3100,4.3200,1382900,5986513.0000
2019-01-23,4.3400,4.3500,4.3000,4.3400,1070073,4629259.3600
2019-01-24,4.3400,4.3900,4.3100,4.3800,2106000,9181175.0000
2019-01-25,4.3900,4.4800,4.3600,4.4400,3985840,17707103.0000
2019-01-28,4.4300,4.4700,4.3900,4.4300,2017800,8928128.0000
2019-01-29,4.4500,4.5000,4.2700,4.3600,1881045,8213313.0000
2019-01-30,4.3400,4.3500,4.3100,4.3100,2374505,10261655.5500
2019-01-31,4.3100,4.3200,4.2300,4.2600,1864833,7997626.5800
2019-02-01,4.2800,4.3500,4.2600,4.3400,1335200,5752061.0000
2019-02-11,4.3400,4.4400,4.3400,4.4400,2731803,12047181.2400
2019-02-12,4.4300,4.4800,4.4100,4.4600,3089211,13755702.4700
2019-02-13,4.4800,4.7700,4.4500,4.6200,6207000,28540934.0000
2019-02-14,4.6000,4.6500,4.5500,4.6100,3343550,15368770.5000
2019-02-15,4.6000,4.6900,4.5700,4.6600,2377400,11001959.0000
2019-02-18,4.7300,4.7400,4.6600,4.7200,4318478,20323534.0400
2019-02-19,4.7400,4.8000,4.6500,4.7100,4226886,19942146.2400
2019-02-20,4.7200,4.7400,4.6600,4.7100,2640748,12407718.6200
2019-02-21,4.7100,4.7600,4.6700,4.7000,4358800,20576634.0000
2019-02-22,4.6900,4.7700,4.6500,4.7700,3506134,16612015.1900
2019-02-25,4.7700,4.9300,4.7700,4.9100,10133905,49489293.0200
2019-02-26,4.8900,4.9500,4.8100,4.8700,7540777,36880335.3700
2019-02-27,4.8500,4.9200,4.7900,4.8200,6837660,33257955.5800
2019-02-28,4.8300,4.8900,4.8100,4.8600,3434953,16679494.5300
2019-03-01,4.8700,4.8800,4.8200,4.8700,2484460,12048428.8000
2019-03-04,4.8700,4.9400,4.8500,4.8900,7258674,35567520.2500
2019-03-05,4.8800,4.9500,4.8500,4.9300,6520713,31913073.4400
2019-03-06,4.9400,5.0400,4.9400,5.0400,8865060,44318548.9400
2019-03-07,5.0900,5.1800,5.0200,5.1500,8739531,44775363.9900
2019-03-08,5.1200,5.1200,4.8700,4.9000,9883145,49449398.6600
2019-03-11,4.9000,5.0300,4.8500,5.0300,5529820,27541489.9800
2019-03-12,5.0600,5.1500,5.0400,5.1100,8384300,42771046.5900
2019-03-13,5.1000,5.1400,4.9800,5.0300,6527661,32971044.8100
2019-03-14,5.0100,5.0400,4.8200,4.8600,4990563,24542439.1000
2019-03-15,4.8700,4.9800,4.8700,4.9200,4599981,22633486.5700
2019-03-18,4.9800,5.0700,4.9400,5.0600,4717276,23649184.4800
2019-03-19,5.0700,5.1100,5.0300,5.0700,5598765,28415589.7400
2019-03-20,5.0700,5.1500,4.9400,5.0900,6004342,30416780.9100
2019-03-21,5.0800,5.4900,5.0600,5.3000,12857946,68054703.4800
2019-03-22,5.2800,5.4200,5.1900,5.3900,8577246,45787129.8100
2019-03-25,5.2800,5.6500,5.2400,5.5100,11220496,61943436.2100
2019-03-26,5.5100,5.6700,5.3600,5.4100,8956073,49186288.8300
2019-03-27,5.4300,5.4700,5.2500,5.4300,5597711,30058166.6800
2019-03-28,5.4100,5.4100,5.2700,5.3200,3622590,19361962.2500
2019-03-29,5.3100,5.3900,5.2300,5.3900,4033893,21515510.0000
2019-04-01,5.3600,5.5900,5.3300,5.5600,8086138,44819231.0900
2019-04-02,5.5700,5.7200,5.5000,5.6600,6607429,37303388.1400
2019-04-03,5.6300,5.7700,5.6300,5.7200,5453012,31123725.8800
2019-04-04,5.7100,5.7800,5.6700,5.7100,4186918,23907422.6400
2019-04-08,5.7000,5.9500,5.6600,5.8900,9254908,53943191.7000
2019-04-09,5.9100,6.1200,5.8100,6.0800,10157240,60845787.1800
2019-04-10,6.1000,6.2700,6.0500,6.2000,7909594,48954819.5100
2019-04-11,6.2000,6.2700,5.9800,6.0100,6731282,40830643.4200
2019-04-12,6.0600,6.1800,5.9200,6.1200,9265540,55898739.2700
2019-04-15,6.1500,6.4400,6.0900,6.1000,8261800,51809583.1900
2019-04-16,6.0200,6.2900,6.0000,6.2300,5522394,33909233.5200
2019-04-17,6.2500,6.2500,6.0800,6.1200,5228100,32101441.0000
2019-04-18,6.1200,6.2000,6.0300,6.1200,4361903,26635194.4200
2019-04-19,6.1400,6.1500,5.9400,6.0200,4898203,29515888.8200
2019-04-22,6.0300,6.0800,5.9000,5.9400,5524245,32968275.8300
2019-04-23,5.9700,5.9800,5.8200,5.8500,3874657,22880713.0600
2019-04-24,5.8500,5.9200,5.7200,5.8400,4741033,27491695.5000
2019-04-25,5.8600,5.8600,5.5900,5.6000,4073783,23375375.2300
2019-04-26,5.6000,5.6300,5.4700,5.5200,3000545,16665599.9400
2019-04-29,5.6200,5.8000,5.6000,5.6600,6171246,35266529.5200
2019-04-30,5.6600,5.8000,5.6200,5.6500,3169760,18021663.2000
2019-05-06,5.4900,5.4900,5.0900,5.1900,5588784,29622819.1200
2019-05-07,5.1900,5.3400,5.1200,5.2100,3343504,17456697.9600
2019-05-08,5.1500,5.4700,5.1400,5.4400,4545541,24354222.1200
2019-05-09,5.3900,5.6500,5.3200,5.5000,3803654,20892326.4200
2019-05-10,5.5400,5.6900,5.3400,5.6700,4297677,23960041.9000
2019-05-13,5.6700,5.8700,5.5400,5.8200,4603620,26545877.2000
2019-05-14,5.7200,5.8600,5.7000,5.7200,3736015,21518776.2000
2019-05-15,5.7900,5.8900,5.7900,5.8600,3143271,18351536.4600
2019-05-16,5.9600,5.9600,5.8300,5.9000,3836901,22622574.9200
2019-05-17,5.9100,5.9500,5.7700,5.8400,3836032,22433234.4600
2019-05-20,5.8500,5.8800,5.7300,5.8000,2483305,14371292.7000
2019-05-21,5.9000,5.9100,5.8200,5.8700,2538304,14880769.3200
2019-05-22,5.7900,6.0600,5.7900,5.8700,4027940,23850589.2000
2019-05-23,5.8300,5.9000,5.7000,5.7700,2770043,16040850.2700
2019-05-24,5.7700,6.1000,5.7200,5.8900,3961398,23368449.5200
2019-05-27,5.9000,6.0000,5.8200,5.9500,2609842,15423678.1000
2019-05-28,5.9600,6.0800,5.9300,5.9700,2819954,16964591.9100
2019-05-29,6.0200,6.0300,5.9500,6.0000,2000729,11985088.5500
2019-05-30,5.9600,6.0100,5.7500,5.8800,3317700,19476306.0000
2019-05-31,5.8500,5.9000,5.8000,5.8000,2338437,13651407.6800
2019-06-03,5.8200,5.8600,5.6800,5.7700,2700288,15549835.6300
2019-06-04,5.7700,5.7700,5.4200,5.6500,4804401,26827989.8200
