symbol,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_percent,exit_reason,score,holding_hours
COHRUSDT,2026-05-28 05:00:00,379.42,2026-05-28 12:00:00,362.11,0.1581361024721944019819724843,2.678704601760582,0.0446450766960097,第一目标止盈,0,7.0
RIVNUSDT,2026-06-11 20:00:00,14.91,2026-06-12 08:00:00,15.69,13.48567953324642741625371154,-10.725160932790883,-0.05334004024144869,止损,0,12.0
