code,name,trigger_date,buy_date,sell_date,profit_pct,hold_days,exit_reason
600689,600689_data,2019-02-15 00:00:00,2019-02-16,2019-02-28 00:00:00,9.59228855721393,10,移动止盈
000862,000862_data,2019-02-18 00:00:00,2019-02-19,2019-02-25 00:00:00,9.587961595273272,6,移动止盈
002454,002454_data,2019-02-14 00:00:00,2019-02-15,2019-03-08 00:00:00,9.456451612903214,21,移动止盈
000510,000510_data,2019-02-14 00:00:00,2019-02-15,2019-02-25 00:00:00,9.16376146788992,10,移动止盈
603063,603063_data,2019-02-12 00:00:00,2019-02-13,2019-02-19 00:00:00,9.129999999999999,6,移动止盈
002670,002670_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,9.011290322580646,7,移动止盈
000045,000045_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,8.848813056379823,8,移动止盈
601616,601616_data,2019-02-15 00:00:00,2019-02-16,2019-03-06 00:00:00,8.652531645569619,16,移动止盈
600293,600293_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,8.543805309734518,8,移动止盈
000923,000923_data,2019-02-12 00:00:00,2019-02-13,2019-02-27 00:00:00,8.4843373493976,14,移动止盈
002174,002174_data,2019-03-01 00:00:00,2019-03-02,2019-03-11 00:00:00,8.365051144666346,7,移动止盈
000933,000933_data,2019-02-26 00:00:00,2019-02-27,2019-03-06 00:00:00,8.202301255230111,7,移动止盈
600366,600366_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,8.154983388704327,9,移动止盈
603169,603169_data,2019-02-19 00:00:00,2019-02-20,2019-02-26 00:00:00,8.124849094567418,6,移动止盈
000056,000056_data,2019-02-20 00:00:00,2019-02-21,2019-03-06 00:00:00,8.116926070038911,13,移动止盈
002939,002939_data,2019-02-14 00:00:00,2019-02-15,2019-02-22 00:00:00,8.115909090909092,7,移动止盈
002271,002271_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,7.916060261512225,16,移动止盈
002229,002229_data,2019-02-14 00:00:00,2019-02-15,2019-02-27 00:00:00,7.908064516129045,12,移动止盈
002184,002184_data,2019-02-19 00:00:00,2019-02-20,2019-03-05 00:00:00,7.869653179190761,13,移动止盈
002289,002289_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,7.840789473684214,5,移动止盈
600172,600172_data,2019-02-13 00:00:00,2019-02-14,2019-03-01 00:00:00,7.781506849315073,15,移动止盈
601068,601068_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,7.731889763779533,5,移动止盈
002383,002383_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,7.6231743666169915,9,移动止盈
002557,002557_data,2019-03-01 00:00:00,2019-03-02,2019-03-18 00:00:00,7.4951268357810505,14,移动止盈
