trailing_stop,hard_stop,max_days,total_trades,win_rate,avg_net_return,median_net_return,max_profit,max_loss,avg_holding_days
0.08,-0.1,30,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.08,-0.1,45,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.08,-0.1,60,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.08,-0.15,30,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.08,-0.15,45,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.08,-0.15,60,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.08,-0.2,30,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.08,-0.2,45,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.08,-0.2,60,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.12,-0.1,30,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.12,-0.1,45,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.12,-0.1,60,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.12,-0.15,30,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.12,-0.15,45,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.12,-0.15,60,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.12,-0.2,30,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.12,-0.2,45,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.12,-0.2,60,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.15,-0.1,30,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.15,-0.1,45,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.15,-0.1,60,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.15,-0.15,30,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.15,-0.15,45,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.15,-0.15,60,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.15,-0.2,30,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.15,-0.2,45,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.15,-0.2,60,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.2,-0.1,30,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.2,-0.1,45,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.2,-0.1,60,79,100.0,9.540000000000008,9.54000000000001,9.540000000000028,9.539999999999992,1.4303797468354431
0.2,-0.15,30,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.2,-0.15,45,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.2,-0.15,60,79,100.0,14.535000000000002,14.53499999999999,14.535000000000013,14.534999999999973,1.4303797468354431
0.2,-0.2,30,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.2,-0.2,45,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
0.2,-0.2,60,79,100.0,19.529999999999994,19.529999999999994,19.530000000000015,19.52999999999998,1.4303797468354431
