code,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_days,gross_return,net_return,highest_price,max_drawdown,is_profitable
603197,2025-09-10,40.05000999999999,2025-10-09,43.1875692,移动止盈,29,7.834103412208901,7.484103412208901,46.99,0,True
600745,2025-09-22,47.59754999999999,2025-09-30,46.689263999999994,移动止盈,8,-1.90826208491823,-2.25826208491823,50.8,0,False
002108,2025-09-22,4.11411,2025-10-16,3.8693268,移动止盈,24,-5.949845774663295,-6.299845774663295,4.21,0,False
605598,2025-09-09,26.136109999999995,2025-10-09,24.89508,时间止盈,30,-4.748334775144408,-5.098334775144409,26.48,0,False
000581,2025-09-30,23.23321,2025-10-14,21.3869916,移动止盈,14,-7.946462843489978,-8.296462843489978,23.27,0,False
603882,2025-09-10,32.34231,2025-09-22,30.513456000000005,移动止盈,12,-5.654679582256161,-6.004679582256162,33.2,0,False
002843,2025-09-15,23.513489999999997,2025-09-23,24.171804,移动止盈,8,2.799729006625577,2.449729006625577,26.3,0,True
601890,2025-09-22,9.909899999999999,2025-10-17,9.4021884,移动止盈,25,-5.123276723276709,-5.47327672327671,10.23,0,False
002436,2025-09-16,22.1221,2025-09-23,23.0597172,移动止盈,7,4.2383733913145765,3.888373391314576,25.09,0,True
601020,2025-09-26,25.71569,2025-10-13,27.7378344,移动止盈,17,7.863465456303144,7.513465456303144,30.18,0,True
601688,2025-11-10,22.20218,2025-11-21,21.0653136,移动止盈,11,-5.120516994277134,-5.4705169942771334,22.92,0,False
603838,2025-09-18,7.717709999999999,2025-09-23,7.0931929068,移动止盈,5,-8.091999999999997,-8.441999999999997,7.717709999999999,0,False
600233,2025-09-17,19.3193,2025-09-23,18.905475600000003,移动止盈,6,-2.142025849797849,-2.492025849797849,20.57,0,False
000938,2025-09-22,30.67064,2025-10-10,29.557612799999998,移动止盈,18,-3.6289663339271736,-3.9789663339271737,32.16,0,False
603663,2025-10-09,29.039009999999998,2025-10-16,26.108973891,硬止损,7,-10.089999999999986,-10.439999999999987,29.039009999999998,0,False
002346,2025-09-24,16.426409999999997,2025-10-09,17.9036784,移动止盈,15,8.993251720856863,8.643251720856862,19.48,0,True
000026,2025-09-18,17.847829999999995,2025-09-23,16.046983952999998,硬止损,5,-10.089999999999986,-10.439999999999985,17.847829999999995,0,False
603059,2025-09-10,32.072039999999994,2025-09-30,32.9582088,移动止盈,20,2.7630571675515725,2.413057167551573,35.86,0,True
600397,2025-09-25,7.607599999999999,2025-09-30,6.83999316,硬止损,5,-10.089999999999991,-10.43999999999999,7.97,0,False
603758,2025-09-10,14.464449999999998,2025-09-17,15.302681999999999,移动止盈,7,5.795118376433266,5.445118376433266,16.65,0,True
603396,2025-10-13,28.03801,2025-10-23,27.5632092,移动止盈,10,-1.693418327477594,-2.043418327477594,29.99,0,False
002112,2025-09-11,13.623609999999998,2025-09-23,13.0233636,移动止盈,12,-4.40592765060067,-4.755927650600671,14.17,0,False
603186,2025-09-15,39.459419999999994,2025-09-24,41.432126399999994,移动止盈,9,4.999329437685603,4.649329437685602,45.08,0,True
000056,2025-09-12,2.8828799999999997,2025-09-17,3.0421548000000005,移动止盈,5,5.524850149850179,5.174850149850179,3.31,0,True
600760,2025-09-23,64.76469999999999,2025-09-30,66.0175164,移动止盈,7,1.934412419111051,1.5844124191110511,71.83,0,True
603535,2025-09-16,12.342329999999999,2025-09-23,11.7550332,移动止盈,7,-4.758394889781743,-5.108394889781744,12.79,0,False
002615,2026-02-24,9.4094,2026-03-06,8.942648400000001,移动止盈,10,-4.960482071120353,-5.310482071120353,9.73,0,False
603402,2026-02-09,161.40124,2026-02-24,145.11585488400002,硬止损,15,-10.089999999999993,-10.439999999999992,161.40124,0,False
600552,2025-09-15,12.65264,2025-09-23,12.913074000000002,移动止盈,8,2.05833723238788,1.7083372323878798,14.05,0,True
002981,2025-09-18,34.52449,2025-09-23,31.040968959,硬止损,5,-10.09,-10.44,34.52449,0,False
001696,2025-09-26,25.095069999999996,2025-10-17,23.7674088,移动止盈,21,-5.2905259877736865,-5.640525987773687,25.86,0,False
603191,2025-10-31,15.885869999999997,2025-11-05,17.085697200000002,移动止盈,5,7.5527950310559335,7.202795031055934,18.59,0,True
603855,2025-09-16,20.80078,2025-10-16,20.109869999999997,时间止盈,30,-3.3215581338776836,-3.6715581338776837,21.1,0,False
600510,2025-09-10,7.4074,2025-09-18,7.8948972,移动止盈,8,6.581218781218781,6.2312187812187805,8.59,0,True
000009,2025-09-29,11.771759999999999,2025-10-13,11.7550332,移动止盈,14,-0.1420926012762657,-0.4920926012762657,12.79,0,False
605336,2025-12-26,15.935919999999998,2026-01-13,17.094888,移动止盈,18,7.272677071672068,6.922677071672068,18.6,0,True
600172,2025-09-16,4.75475,2025-09-22,4.8619332,移动止盈,6,2.2542341868657787,1.9042341868657786,5.29,0,True
000036,2025-09-17,4.594589999999999,2025-09-22,4.4667288,移动止盈,5,-2.7828641946288797,-3.1328641946288793,4.86,0,False
002465,2025-09-12,13.543529999999999,2025-09-23,12.821166,移动止盈,11,-5.333646397947942,-5.683646397947943,13.95,0,False
