code,name,trigger_date,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,drop_start,drop_end,shrink_date,surge_date,support_level,retrace_low
002194,002194_data,2019-02-19 00:00:00,2019-02-20,2019-02-26 00:00:00,8.76,10.2764,16.960502283105033,6,移动止盈,2019-01-21 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,8.32,8.74
002214,002214_data,2019-02-14 00:00:00,2019-02-15,2019-03-08 00:00:00,6.5,7.6175999999999995,16.843846153846144,21,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-13 00:00:00,6.18,6.35
000686,000686_data,2019-02-19 00:00:00,2019-02-20,2019-02-27 00:00:00,7.62,8.924,16.762860892388442,7,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-18 00:00:00,7.23,7.52
002656,002656_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,6.35,7.4336,16.714566929133866,6,移动止盈,2019-01-02 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-22 00:00:00,5.42,6.15
603363,603363_data,2019-02-12 00:00:00,2019-02-13,2019-02-18 00:00:00,8.27,9.4852,14.344074969770269,5,移动止盈,2019-01-21 00:00:00,2019-01-31 00:00:00,2019-02-01 00:00:00,2019-02-11 00:00:00,7.63,8.31
600391,600391_data,2019-02-26 00:00:00,2019-02-27,2019-03-12 00:00:00,13.7,15.686000000000002,14.146350364963522,13,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,13.1,13.75
002100,002100_data,2019-02-12 00:00:00,2019-02-13,2019-02-22 00:00:00,5.93,6.7896,14.145784148397983,9,移动止盈,2019-01-28 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-11 00:00:00,5.02,5.52
603516,603516_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,23.44,26.8364,14.139761092150168,16,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,21.08,23.15
603111,603111_data,2019-03-04 00:00:00,2019-03-05,2019-03-11 00:00:00,5.1,5.8328,14.018627450980395,6,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-03-01 00:00:00,4.85,5.07
002941,002941_data,2019-02-18 00:00:00,2019-02-19,2019-02-26 00:00:00,32.62,37.0944,13.366738197424901,7,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-15 00:00:00,28.62,31.2
603081,603081_data,2019-02-20 00:00:00,2019-02-21,2019-03-01 00:00:00,13.19,14.996,13.342191053828664,8,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-19 00:00:00,12.02,12.57
601100,601100_data,2019-02-22 00:00:00,2019-02-23,2019-03-26 00:00:00,28.05,31.785999999999998,12.969073083778957,29,移动止盈,2019-01-30 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-21 00:00:00,24.52,25.95
002182,002182_data,2019-02-25 00:00:00,2019-02-26,2019-03-25 00:00:00,7.83,8.804400000000001,12.094444444444457,27,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-22 00:00:00,6.96,7.49
600072,600072_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,8.82,9.9084,11.990136054421768,5,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,8.42,8.72
603042,603042_data,2019-02-19 00:00:00,2019-02-20,2019-03-11 00:00:00,13.38,14.959200000000003,11.452690582959654,19,移动止盈,2019-01-02 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,13.01,13.2
000517,000517_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,2.7,3.0176,11.41296296296295,5,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,2.52,2.63
603005,603005_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,16.28,18.1884,11.372358722358724,5,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-13 00:00:00,15.62,16.18
603181,603181_data,2019-02-19 00:00:00,2019-02-20,2019-03-22 00:00:00,19.18,21.4,11.224556830031277,30,时间止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,17.53,18.79
603929,603929_data,2019-02-15 00:00:00,2019-02-16,2019-03-08 00:00:00,16.27,18.114800000000002,10.988660110633084,18,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-14 00:00:00,14.6,15.31
002497,002497_data,2019-02-12 00:00:00,2019-02-13,2019-02-22 00:00:00,6.76,7.5256,10.975443786982249,9,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-11 00:00:00,6.37,6.6
000506,000506_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,3.3,3.6708000000000003,10.886363636363651,8,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-25 00:00:00,3.07,3.23
600550,600550_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,4.33,4.8116,10.772401847575063,9,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,4.14,4.26
002141,002141_data,2019-02-15 00:00:00,2019-02-16,2019-02-26 00:00:00,4.37,4.8484,10.597368421052625,8,移动止盈,2019-01-09 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-14 00:00:00,4.12,4.28
002856,002856_data,2019-02-18 00:00:00,2019-02-19,2019-03-08 00:00:00,21.15,23.4508,10.528486997635946,17,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-02-12 00:00:00,2019-02-15 00:00:00,19.58,20.4
002862,002862_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,23.68,26.220000000000002,10.376351351351362,5,移动止盈,2019-01-03 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,19.13,21.39
601901,601901_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,6.69,7.406000000000001,10.352541106128552,5,移动止盈,2019-01-09 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-18 00:00:00,6.46,6.57
000151,000151_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,12.15,13.432,10.201440329218107,5,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,11.42,11.84
600416,600416_data,2019-02-19 00:00:00,2019-02-20,2019-02-27 00:00:00,6.11,6.734400000000001,9.869312602291332,7,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-18 00:00:00,5.72,5.94
600703,600703_data,2019-02-11 00:00:00,2019-02-12,2019-02-18 00:00:00,10.92,12.0336,9.847802197802197,6,移动止盈,2019-01-09 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-01 00:00:00,9.81,10.5
603859,603859_data,2019-02-25 00:00:00,2019-02-26,2019-03-06 00:00:00,23.72,26.128,9.801770657672854,8,移动止盈,2019-01-15 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-22 00:00:00,19.3,21.99
601388,601388_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,2.51,2.7600000000000002,9.610159362549819,6,移动止盈,2019-01-21 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,2.3,2.43
600689,600689_data,2019-02-15 00:00:00,2019-02-16,2019-02-28 00:00:00,10.05,11.0492,9.59228855721393,10,移动止盈,2019-01-02 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-14 00:00:00,8.91,9.92
000862,000862_data,2019-02-18 00:00:00,2019-02-19,2019-02-25 00:00:00,6.77,7.4428,9.587961595273272,6,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-02-12 00:00:00,2019-02-15 00:00:00,6.21,6.2
002454,002454_data,2019-02-14 00:00:00,2019-02-15,2019-03-08 00:00:00,4.65,5.106,9.456451612903214,21,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-13 00:00:00,4.41,4.53
000510,000510_data,2019-02-14 00:00:00,2019-02-15,2019-02-25 00:00:00,4.36,4.774800000000001,9.16376146788992,10,移动止盈,2019-01-21 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-13 00:00:00,4.18,4.35
603063,603063_data,2019-02-12 00:00:00,2019-02-13,2019-02-19 00:00:00,8.0,8.7584,9.129999999999999,6,移动止盈,2019-01-09 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-11 00:00:00,6.67,7.95
002670,002670_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,12.4,13.5608,9.011290322580646,7,移动止盈,2019-01-04 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-22 00:00:00,9.99,11.3
000045,000045_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,6.74,7.36,8.848813056379823,8,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-25 00:00:00,6.56,6.83
601616,601616_data,2019-02-15 00:00:00,2019-02-16,2019-03-06 00:00:00,3.95,4.3056,8.652531645569619,16,移动止盈,2019-01-10 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-14 00:00:00,3.72,3.9
600293,600293_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,4.52,4.922,8.543805309734518,8,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,4.34,4.5
000923,000923_data,2019-02-12 00:00:00,2019-02-13,2019-02-27 00:00:00,13.28,14.4532,8.4843373493976,14,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-11 00:00:00,13.21,13.07
002174,002174_data,2019-03-01 00:00:00,2019-03-02,2019-03-11 00:00:00,20.53,22.319200000000002,8.365051144666346,7,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-15 00:00:00,2019-02-28 00:00:00,19.3,19.9
000933,000933_data,2019-02-26 00:00:00,2019-02-27,2019-03-06 00:00:00,4.78,5.1888,8.202301255230111,7,移动止盈,2019-01-18 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,4.39,4.6
600366,600366_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,6.02,6.532,8.154983388704327,9,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,5.72,5.88
603169,603169_data,2019-02-19 00:00:00,2019-02-20,2019-02-26 00:00:00,4.97,5.3912,8.124849094567418,6,移动止盈,2019-01-10 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,4.34,4.6
000056,000056_data,2019-02-20 00:00:00,2019-02-21,2019-03-06 00:00:00,5.14,5.5752,8.116926070038911,13,移动止盈,2019-01-03 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-19 00:00:00,4.94,5.03
002939,002939_data,2019-02-14 00:00:00,2019-02-15,2019-02-22 00:00:00,10.56,11.454,8.115909090909092,7,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-13 00:00:00,10.11,10.51
002271,002271_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,17.59,19.044,7.916060261512225,16,移动止盈,2019-01-25 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,15.89,17.21
002229,002229_data,2019-02-14 00:00:00,2019-02-15,2019-02-27 00:00:00,7.13,7.718800000000001,7.908064516129045,12,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-13 00:00:00,6.85,7.12
002184,002184_data,2019-02-19 00:00:00,2019-02-20,2019-03-05 00:00:00,10.38,11.233200000000002,7.869653179190761,13,移动止盈,2019-01-15 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,9.26,10.17
