code,name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason
000045,000045_data,N/A,N/A,0,0,8.848813056379823,0,N/A
000055,000055_data,N/A,N/A,0,0,-4.625862068965512,0,N/A
000056,000056_data,N/A,N/A,0,0,8.116926070038911,0,N/A
000058,000058_data,N/A,N/A,0,0,-2.5999999999999965,0,N/A
000070,000070_data,N/A,N/A,0,0,7.058423114593528,0,N/A
000151,000151_data,N/A,N/A,0,0,10.201440329218107,0,N/A
000419,000419_data,N/A,N/A,0,0,5.315271966527204,0,N/A
000498,000498_data,N/A,N/A,0,0,-1.1071189279731903,0,N/A
000506,000506_data,N/A,N/A,0,0,10.886363636363651,0,N/A
000510,000510_data,N/A,N/A,0,0,9.16376146788992,0,N/A
000517,000517_data,N/A,N/A,0,0,11.41296296296295,0,N/A
000526,000526_data,N/A,N/A,0,0,6.131481481481474,0,N/A
000550,000550_data,N/A,N/A,0,0,4.586632468316221,0,N/A
000557,000557_data,N/A,N/A,0,0,4.792857142857145,0,N/A
000558,000558_data,N/A,N/A,0,0,5.531656804733736,0,N/A
000571,000571_data,N/A,N/A,0,0,6.983333333333347,0,N/A
000592,000592_data,N/A,N/A,0,0,5.859424083769635,0,N/A
000609,000609_data,N/A,N/A,0,0,-1.9099999999999913,0,N/A
000686,000686_data,N/A,N/A,0,0,16.762860892388442,0,N/A
000712,000712_data,N/A,N/A,0,0,17.13990825688073,0,N/A
000723,000723_data,N/A,N/A,0,0,5.1851812366737695,0,N/A
000728,000728_data,N/A,N/A,0,0,4.872898903775892,0,N/A
000750,000750_data,N/A,N/A,0,0,4.846721311475419,0,N/A
000751,000751_data,N/A,N/A,0,0,5.3157824933687,0,N/A
000758,000758_data,N/A,N/A,0,0,6.56368421052632,0,N/A
000783,000783_data,N/A,N/A,0,0,-8.349999999999998,0,N/A
000792,000792_data,N/A,N/A,0,0,2.186312849162017,0,N/A
000797,000797_data,N/A,N/A,0,0,4.84311663479924,0,N/A
000807,000807_data,N/A,N/A,0,0,2.6261388286334055,0,N/A
000811,000811_data,N/A,N/A,0,0,3.786807817589584,0,N/A
000812,000812_data,N/A,N/A,0,0,3.318292682926837,0,N/A
000823,000823_data,N/A,N/A,0,0,5.31630785791174,0,N/A
000837,000837_data,N/A,N/A,0,0,3.17400835073069,0,N/A
000862,000862_data,N/A,N/A,0,0,9.587961595273272,0,N/A
000897,000897_data,N/A,N/A,0,0,4.842452830188677,0,N/A
000923,000923_data,N/A,N/A,0,0,8.4843373493976,0,N/A
000933,000933_data,N/A,N/A,0,0,8.202301255230111,0,N/A
000936,000936_data,N/A,N/A,0,0,5.426649746192899,0,N/A
000955,000955_data,N/A,N/A,0,0,17.193529411764697,0,N/A
000957,000957_data,N/A,N/A,0,0,1.0625412541254182,0,N/A
000963,000963_data,N/A,N/A,0,0,1.1322475008617707,0,N/A
000969,000969_data,N/A,N/A,0,0,5.61290050590221,0,N/A
000981,000981_data,N/A,N/A,0,0,5.197945205479464,0,N/A
000987,000987_data,N/A,N/A,0,0,3.209709241952218,0,N/A
002023,002023_data,N/A,N/A,0,0,1.1193877551020524,0,N/A
002032,002032_data,N/A,N/A,0,0,-1.2678035497704938,0,N/A
002040,002040_data,N/A,N/A,0,0,7.418762677484805,0,N/A
002051,002051_data,N/A,N/A,0,0,-6.3925531914893625,0,N/A
002063,002063_data,N/A,N/A,0,0,-2.089975698663429,0,N/A
002067,002067_data,N/A,N/A,0,0,5.86138211382114,0,N/A
002098,002098_data,N/A,N/A,0,0,4.674719101123601,0,N/A
002100,002100_data,N/A,N/A,0,0,14.145784148397983,0,N/A
002103,002103_data,N/A,N/A,0,0,1.2211252653927969,0,N/A
002116,002116_data,N/A,N/A,0,0,3.7155737704918015,0,N/A
002127,002127_data,N/A,N/A,0,0,-4.676833797585881,0,N/A
002130,002130_data,N/A,N/A,0,0,-1.5665898617511411,0,N/A
002141,002141_data,N/A,N/A,0,0,10.597368421052625,0,N/A
002145,002145_data,N/A,N/A,0,0,6.488709677419351,0,N/A
002153,002153_data,N/A,N/A,0,0,2.6399643897701535,0,N/A
002161,002161_data,N/A,N/A,0,0,16.98108108108108,0,N/A
002167,002167_data,N/A,N/A,0,0,-0.37587322121603856,0,N/A
002174,002174_data,N/A,N/A,0,0,8.365051144666346,0,N/A
002175,002175_data,N/A,N/A,0,0,59.584604904632165,0,N/A
002182,002182_data,N/A,N/A,0,0,12.094444444444457,0,N/A
002184,002184_data,N/A,N/A,0,0,7.869653179190761,0,N/A
002189,002189_data,N/A,N/A,0,0,1.9540000000000068,0,N/A
002192,002192_data,N/A,N/A,0,0,24.30735414954807,0,N/A
002194,002194_data,N/A,N/A,0,0,16.960502283105033,0,N/A
