date,open,high,low,close,volume,amount
2025-08-01,18.11,19.91,17.61,19.91,33256796,641366852.56
2025-08-04,20.3,21.9,20.3,21.9,13494523,286129292.58
2025-08-05,24.09,24.09,23.12,24.09,12707160,304438257.2
2025-08-06,26.0,26.5,25.0,26.5,27134290,703984935.29
2025-08-07,29.15,29.15,28.35,29.15,7916040,230435016.4
2025-08-08,30.08,31.79,28.33,29.77,59911191,1818172405.09
2025-08-11,29.81,31.5,29.0,30.18,50524905,1530631792.2
2025-08-12,29.71,32.81,28.98,31.9,53623657,1670914389.98
2025-08-13,30.78,35.09,29.5,35.09,53997839,1705266455.94
2025-08-14,34.08,34.97,31.6,32.65,51144879,1708571809.34
2025-08-15,32.0,32.47,30.5,32.05,44868595,1412164285.65
2025-08-18,31.5,32.21,30.58,31.74,37816759,1183827433.41
2025-08-19,31.15,33.98,30.8,31.76,46359459,1509259299.19
2025-08-20,30.86,33.45,30.23,31.44,32214800,1028981116.6
2025-08-21,30.6,32.26,29.01,31.55,35656872,1089853293.17
2025-08-22,31.8,33.86,31.67,32.0,36571160,1196325314.8
2025-08-25,31.83,34.18,31.82,33.57,37850500,1255578129.2
2025-08-26,32.68,36.93,32.68,36.93,26591600,930511691.4
2025-08-27,38.78,40.62,33.97,33.97,56055796,2100278915.06
2025-08-28,33.96,34.43,31.26,31.86,38042872,1241347345.26
2025-08-29,31.1,31.4,28.77,28.88,39412150,1186114426.4
2025-09-01,28.88,29.65,28.77,29.25,27938566,814409347.68
2025-09-02,29.2,30.94,28.25,30.32,38401737,1135664529.3
2025-09-03,29.9,30.88,28.9,29.02,26009390,769601495.0
2025-09-04,28.4,28.77,26.39,26.97,25833580,710822883.7
2025-09-05,26.96,28.45,26.81,28.18,20468620,566754520.8
2025-09-08,28.1,29.1,27.78,28.59,16067567,460250042.54
2025-09-09,29.0,31.45,28.41,31.45,43539008,1327225395.16
2025-09-10,31.14,32.44,30.2,30.51,42439362,1328674032.68
2025-09-11,30.16,30.88,29.63,30.14,28289340,853530089.0
2025-09-12,29.98,30.78,29.68,29.7,22340500,671796421.6
2025-09-15,29.4,30.64,29.38,29.97,19764580,596564399.8
2025-09-16,29.73,30.68,29.37,30.28,23660080,711577626.0
2025-09-17,30.36,30.58,29.76,29.79,19019125,572717824.0
2025-09-18,29.48,31.8,29.4,30.63,33610560,1034705807.4
2025-09-19,29.98,33.5,29.7,32.42,42246480,1335796312.4
2025-09-22,32.04,35.0,31.82,34.52,38303636,1283231557.91
2025-09-23,33.49,34.49,32.07,32.81,29912835,989216666.09
2025-09-24,32.01,32.15,29.53,29.53,32218079,969206016.08
2025-09-25,28.25,29.27,27.82,27.87,22297025,630306260.13
2025-09-26,27.49,28.55,27.49,27.5,14637470,409596699.4
2025-09-29,27.48,27.8,27.03,27.37,10867100,297535254.0
2025-09-30,27.45,27.51,27.11,27.13,9099556,248369646.36
2025-10-09,27.2,28.1,26.96,27.81,10535212,290555158.52
2025-10-10,27.86,29.0,27.61,28.55,15837793,452434787.68
2025-10-13,26.95,28.15,26.91,27.74,10589967,291609548.64
2025-10-14,27.7,29.0,27.6,27.91,11190255,316504540.64
2025-10-15,27.83,28.18,27.28,27.81,10030727,276784427.33
2025-10-16,27.59,27.74,27.0,27.05,9005040,245607037.6
2025-10-17,26.99,26.99,24.35,24.36,17571858,443536521.72
2025-10-20,25.0,25.87,25.0,25.29,15710319,398499087.76
2025-10-21,25.42,25.94,24.75,25.89,13401220,340877988.6
2025-10-22,25.85,26.43,25.46,25.51,11543040,298724078.0
2025-10-23,25.41,25.52,24.66,25.15,9141940,228349755.4
2025-10-24,25.1,25.69,25.1,25.35,7603500,193637427.0
2025-10-27,25.65,25.9,25.31,25.46,6511560,166418008.2
2025-10-28,25.2,25.8,25.2,25.65,6924000,177112854.4
2025-10-29,26.0,26.43,25.71,25.84,11635400,302720801.2
2025-10-30,25.64,26.4,25.5,25.84,12453140,323729145.8
2025-10-31,25.8,27.1,25.63,26.96,21233840,568570146.2
2025-11-03,27.5,29.03,26.7,28.19,26592560,741086766.0
2025-11-04,27.55,30.55,27.21,29.87,36486350,1048942299.5
2025-11-05,28.98,29.33,27.88,28.01,27137720,772206626.4
2025-11-06,27.87,27.87,26.0,26.02,23074320,608422563.6
