date,open,high,low,close,volume,amount
2025-08-01,5.8,5.91,5.8,5.88,7621952,44794300.2
2025-08-04,5.86,5.96,5.81,5.95,8624900,51041014.0
2025-08-05,5.96,6.02,5.96,6.02,7607700,45613083.0
2025-08-06,6.01,6.03,5.96,6.0,7406400,44459619.0
2025-08-07,6.01,6.04,5.92,5.94,8260500,49208797.0
2025-08-08,5.94,5.99,5.91,5.98,7396200,44030354.0
2025-08-11,5.98,6.11,5.95,6.05,9831589,59527270.69
2025-08-12,6.04,6.08,5.99,6.04,7527502,45358793.0
2025-08-13,6.05,6.06,6.0,6.03,9190101,55405443.02
2025-08-14,6.04,6.07,5.84,5.86,11025600,65448968.0
2025-08-15,5.83,5.94,5.83,5.88,9230900,54430398.0
2025-08-18,5.9,5.97,5.87,5.93,9862101,58506511.9
2025-08-19,5.93,6.27,5.92,6.16,38453396,236179007.09
2025-08-20,6.16,6.18,6.11,6.17,21438705,131818865.36
2025-08-21,6.2,6.21,6.07,6.1,15153487,92572661.57
2025-08-22,6.11,6.14,6.03,6.1,13708901,83262682.05
2025-08-25,6.1,6.13,6.03,6.07,15550489,94370384.83
2025-08-26,6.04,6.16,6.01,6.14,15710838,95990904.8
2025-08-27,6.13,6.15,5.89,5.9,18104848,108947079.96
2025-08-28,5.92,5.96,5.67,5.87,17116328,99559550.01
2025-08-29,5.84,5.87,5.78,5.79,9472400,55127031.0
2025-09-01,5.8,5.9,5.75,5.85,10234722,59704522.1
2025-09-02,5.84,5.86,5.7,5.81,9551310,55186595.4
2025-09-03,5.81,5.85,5.62,5.66,8930950,51162130.0
2025-09-04,5.65,5.76,5.65,5.71,10592310,60497847.2
2025-09-05,5.73,5.78,5.69,5.74,9049792,51907838.46
2025-09-08,5.72,5.9,5.72,5.84,11573180,67298248.84
2025-09-09,5.85,6.03,5.81,5.92,18285551,108408082.75
2025-09-10,5.92,5.97,5.86,5.88,11375435,67209868.56
2025-09-11,5.86,5.93,5.76,5.91,9816501,57439955.4
2025-09-12,5.91,5.97,5.87,5.89,9425600,55840062.0
2025-09-15,5.89,5.9,5.76,5.78,8773010,50884542.7
2025-09-16,5.81,5.91,5.78,5.91,9981493,58436496.32
2025-09-17,5.9,5.94,5.86,5.92,8891292,52504775.8
2025-09-18,5.92,5.98,5.78,5.86,13501534,79804367.62
2025-09-19,5.83,5.9,5.74,5.77,8236200,47697138.0
2025-09-22,5.75,5.81,5.6,5.75,6318993,36177925.78
