date,open,high,low,close,volume,amount
2025-08-01,4.51,4.58,4.5,4.55,13880438,63180107.52
2025-08-04,4.52,4.55,4.49,4.53,9318800,42170560.0
2025-08-05,4.53,4.58,4.53,4.57,11162490,50884406.3
2025-08-06,4.57,4.58,4.51,4.56,12197400,55449426.0
2025-08-07,4.56,4.59,4.54,4.57,12726270,58142080.6
2025-08-08,4.57,4.6,4.53,4.59,13288800,60654706.0
2025-08-11,4.59,4.66,4.57,4.64,13871000,64164086.0
2025-08-12,4.64,4.64,4.59,4.61,12226700,56434180.0
2025-08-13,4.62,4.63,4.56,4.57,14421214,66073344.98
2025-08-14,4.57,4.58,4.47,4.48,17687914,79933947.72
2025-08-15,4.47,4.52,4.46,4.5,13037299,58673021.51
2025-08-18,4.52,4.56,4.49,4.54,15087000,68449759.0
2025-08-19,4.55,4.6,4.53,4.57,15441600,70620203.0
2025-08-20,4.58,4.63,4.54,4.63,13706700,62952434.0
2025-08-21,4.64,4.66,4.62,4.65,16700900,77527288.0
2025-08-22,4.65,4.66,4.57,4.63,15430334,71111141.72
2025-08-25,4.63,4.69,4.62,4.65,20293614,94543939.96
2025-08-26,4.64,4.7,4.62,4.7,17073685,79928884.65
2025-08-27,4.7,4.7,4.55,4.56,20057334,92962525.7
2025-08-28,4.56,4.66,4.43,4.59,20851179,94868768.5
2025-08-29,4.58,4.6,4.51,4.53,14891100,67856172.0
2025-09-01,4.54,4.56,4.45,4.52,14658800,66055448.0
2025-09-02,4.54,4.54,4.43,4.48,15969776,71386310.48
2025-09-03,4.48,4.49,4.39,4.42,12532433,55687147.52
2025-09-04,4.41,4.5,4.38,4.47,14152607,63068026.13
2025-09-05,4.45,4.52,4.42,4.52,14402400,64371032.0
2025-09-08,4.51,4.57,4.5,4.55,12386356,56198219.12
2025-09-09,4.54,4.58,4.52,4.54,10496356,47704091.8
2025-09-10,4.54,4.62,4.51,4.61,16288284,74485485.46
2025-09-11,4.59,4.6,4.51,4.6,13406597,61044776.23
2025-09-12,4.6,4.69,4.58,4.62,21539955,99468247.54
2025-09-15,4.6,4.66,4.57,4.63,14441900,66592754.0
2025-09-16,4.66,4.74,4.65,4.73,34300208,161477118.06
2025-09-17,4.7,4.74,4.61,4.7,21299200,99573588.0
2025-09-18,4.71,4.73,4.57,4.62,19565400,91176643.0
2025-09-19,4.62,4.83,4.62,4.74,42777983,202159080.29
2025-09-22,4.7,4.7,4.53,4.58,29701168,136212777.56
2025-09-23,4.58,4.59,4.44,4.52,18269374,82030990.35
2025-09-24,4.51,4.55,4.48,4.54,11659400,52728600.0
2025-09-25,4.53,4.54,4.42,4.42,19294554,86130470.68
2025-09-26,4.4,4.46,4.38,4.45,11127500,49263693.0
2025-09-29,4.43,4.47,4.35,4.45,13714200,60642115.0
2025-09-30,4.46,4.46,4.41,4.41,10837500,47962078.0
2025-10-09,4.4,4.46,4.38,4.46,11867225,52537962.29
2025-10-10,4.46,4.59,4.44,4.55,18943062,85958789.23
2025-10-13,4.49,4.82,4.45,4.66,32856566,152657428.64
2025-10-14,4.65,4.74,4.61,4.69,32611579,152808828.93
2025-10-15,4.69,4.83,4.65,4.74,30192321,143616275.38
2025-10-16,4.72,4.75,4.67,4.7,22596489,106298477.3
2025-10-17,4.68,4.74,4.62,4.63,15153421,70802147.54
2025-10-20,4.69,4.75,4.66,4.74,21181200,99903910.9
2025-10-21,4.75,4.8,4.68,4.78,19198401,91218346.74
2025-10-22,4.77,4.81,4.73,4.75,13854900,65954238.0
