date,open,high,low,close,volume,amount
2025-08-01,34.35,34.81,34.1,34.43,3055200,105203372.0
2025-08-04,34.25,34.8,34.11,34.79,2893200,99967199.0
2025-08-05,34.96,35.06,34.69,34.9,2618033,91308030.06
2025-08-06,34.92,35.24,34.65,35.23,3873100,135539228.0
2025-08-07,35.57,36.38,35.15,35.71,7669400,274510702.0
2025-08-08,35.6,35.6,34.62,34.7,5069900,176843421.0
2025-08-11,34.7,35.25,34.68,35.22,3994588,139951200.6
2025-08-12,35.1,35.66,34.84,35.46,4440700,156565328.0
2025-08-13,35.47,35.97,35.45,35.77,4149400,147985964.0
2025-08-14,35.8,39.3,35.55,37.0,13771641,514778608.73
2025-08-15,36.48,37.97,36.48,37.62,11244463,421458012.13
2025-08-18,38.06,39.0,37.51,39.0,12232600,469571680.0
2025-08-19,39.15,39.15,37.71,37.93,9948167,380570873.93
2025-08-20,37.58,38.33,37.18,38.31,7970332,300971079.03
2025-08-21,38.28,38.56,37.3,37.41,6562986,248239472.58
2025-08-22,37.47,38.53,37.47,38.29,7829700,298686102.0
2025-08-25,38.7,39.8,37.8,38.2,9325769,358710029.07
2025-08-26,38.15,39.1,37.77,38.6,8020083,308574512.08
2025-08-27,38.8,42.46,38.72,42.46,11705856,485578976.19
2025-08-28,46.71,46.71,46.71,46.71,2550094,119114890.74
2025-08-29,51.38,51.38,47.51,47.93,38429183,1905178105.64
2025-09-01,46.7,50.5,45.2,46.0,23567650,1110272304.47
2025-09-02,44.93,46.99,42.58,42.8,18808796,834786152.81
2025-09-03,42.5,44.0,42.06,42.62,11624266,500372929.86
2025-09-04,42.08,42.1,38.36,39.08,16456245,660697688.65
2025-09-05,39.9,41.18,39.36,40.8,12263630,493193002.97
2025-09-08,41.03,43.3,41.03,42.8,12727950,535884986.35
2025-09-09,42.38,42.38,41.03,41.2,8210498,341675940.51
2025-09-10,40.99,41.7,40.99,41.01,5724396,236270647.74
2025-09-11,41.05,42.68,40.62,42.45,9019700,379754640.64
2025-09-12,42.26,44.0,42.02,43.47,11018275,478594309.15
2025-09-15,46.29,46.3,43.7,43.81,13111110,586494766.44
2025-09-16,43.85,44.89,43.24,44.72,8826600,392009435.0
2025-09-17,44.38,44.66,43.4,43.64,7833500,343103599.0
2025-09-18,43.61,44.75,42.1,42.93,9985720,436721555.0
2025-09-19,42.6,43.26,41.8,41.93,7507863,318439238.2
2025-09-22,42.96,44.2,42.51,43.5,7443900,322963358.0
2025-09-23,43.01,43.3,41.56,42.93,7853815,332524813.05
2025-09-24,42.72,43.94,42.36,43.68,7973401,345865147.56
2025-09-25,43.48,43.96,43.06,43.32,6753200,293796934.0
2025-09-26,43.1,43.18,41.94,41.95,5638032,239438477.08
2025-09-29,41.77,42.37,41.4,41.89,4244710,177330616.4
2025-09-30,41.89,44.19,41.89,43.2,6678338,288118635.36
2025-10-09,43.35,44.54,43.28,43.86,9219804,405412870.68
2025-10-10,42.99,43.43,41.09,41.18,8923700,373771349.0
2025-10-13,39.0,41.77,39.0,41.58,5973528,243574389.6
2025-10-14,42.5,42.99,40.35,40.57,7707300,321418639.44
2025-10-15,40.57,40.78,39.59,40.39,4308900,173372875.0
2025-10-16,40.3,40.69,39.69,39.85,3790300,152120034.0
2025-10-17,39.58,40.06,38.14,38.22,4267900,166038859.57
2025-10-20,38.9,39.68,38.77,39.05,3416443,133784048.45
2025-10-21,38.87,39.6,38.72,39.48,2760255,108404032.15
2025-10-22,39.26,39.47,38.73,38.93,2267000,88340374.0
2025-10-23,38.73,38.78,37.76,38.53,3175300,120996555.0
2025-10-24,38.73,39.47,38.73,39.4,3069946,120514014.1
2025-10-27,39.39,39.9,39.19,39.62,4095800,162127159.0
2025-10-28,39.62,40.18,39.25,39.39,3231090,128320287.8
2025-10-29,39.0,39.55,38.88,39.21,2591595,101399479.65
2025-10-30,39.3,39.57,38.8,39.05,3466200,135731897.0
2025-10-31,38.51,38.74,37.77,38.31,3864600,147946181.0
2025-11-03,37.96,38.28,37.48,37.97,3909700,147703946.0
2025-11-04,37.97,38.1,37.11,37.37,2806900,105391158.0
2025-11-05,36.96,37.5,36.67,37.04,2622300,97025367.0
2025-11-06,37.1,37.55,37.03,37.45,2158000,80625274.0
2025-11-07,37.1,37.24,36.74,36.86,2412900,89164902.0
2025-11-10,36.97,37.46,36.81,37.17,2633850,97626198.5
2025-11-11,37.11,37.49,36.81,36.86,2257700,83806116.0
2025-11-12,36.89,37.0,36.16,36.55,2339100,85495485.0
2025-11-13,36.48,37.07,36.34,36.92,2190100,80672887.0
2025-11-14,36.93,37.35,36.69,36.74,2376900,87962955.0
2025-11-17,36.73,36.99,36.56,36.9,1649300,60761680.0
2025-11-18,36.77,37.83,36.66,37.1,3129400,116227504.0
2025-11-19,37.13,38.05,36.44,36.45,4893189,181735115.9
2025-11-20,36.71,36.87,35.66,35.78,3357866,121082388.66
2025-11-21,35.31,35.61,34.45,34.45,3556785,124110572.65
2025-11-24,34.85,35.1,34.26,34.93,2117400,73410585.0
2025-11-25,35.15,36.09,35.11,35.58,2474795,88320210.05
2025-11-26,35.9,39.14,35.68,39.14,9173204,350356682.91
2025-11-27,40.4,42.0,38.75,39.19,23027057,921337845.89
2025-11-28,39.01,39.53,38.0,38.68,14994286,579731419.8
2025-12-01,40.9,42.55,40.9,42.55,11360287,481185086.85
2025-12-02,44.28,45.56,41.91,42.5,30932675,1341147541.91
2025-12-03,41.52,42.34,40.46,41.23,17492111,720761544.24
2025-12-04,40.11,40.55,39.03,39.3,12235302,483525120.54
2025-12-05,39.52,39.66,37.67,38.72,10706571,411665282.19
2025-12-08,38.69,39.7,38.5,39.43,9781271,383067310.89
2025-12-09,40.0,40.2,38.35,38.44,9634300,377092597.76
2025-12-10,38.15,38.33,37.33,37.9,7522300,283676768.0
2025-12-11,38.0,38.02,36.64,36.68,6479800,239950149.0
2025-12-12,36.68,37.48,36.21,37.1,5147963,190240263.93
2025-12-15,36.44,36.87,36.28,36.33,3903600,142452909.0
2025-12-16,36.33,36.41,35.12,35.3,4350600,154858275.0
2025-12-17,35.24,37.95,35.01,37.18,8195882,297211727.82
2025-12-18,36.48,37.25,36.01,36.54,5316000,195131621.09
2025-12-19,36.84,36.9,36.27,36.32,4467300,163169498.0
